"","county","fips","injured","fatalities","losses","f9","f0","f1","f2","f3","f4","f5"
"1","adams","1",19,0,4.26325,0,16,8,6,1,0,0
"2","alexander","3",10,0,1.4103125,0,4,7,5,0,0,0
"3","bond","5",23,1.25,3.48625,0,5,11,3,2,0,0
"4","boone","7",230.25,12.75,7.89525,0,5,5,1,1,2,0
"5","brown","9",20,0,3.1275,0,1,4,5,0,0,0
"6","bureau","11",1,1,6.61366666666667,0,15,17,2,3,0,0
"7","calhoun","13",9,0,0.377525,0,4,2,3,0,0,0
"8","carroll","15",13,0,0.685525,0,8,5,3,1,0,0
"9","cass","17",2,0.25,0.623125,0,3,4,3,0,0,0
"10","champaign","19",47.0833333333333,2.5,800049.112741667,0,40,14,9,8,1,0
"11","christian","21",9.25,0,1.929275,0,14,17,4,1,0,0
"12","clark","23",0,0,0.396775,0,7,3,0,0,0,0
"13","clay","25",14.1666666666667,0,2.98541666666667,0,6,4,3,1,1,0
"14","clinton","27",12,5.25,32.333125,0,6,9,3,2,1,0
"15","coles","29",20,0,17.696,0,14,11,4,2,0,0
"16","cook","31",778.5,37.6666666666667,95.5496916666667,0,15,22,15,1,2,0
"17","crawford","33",1,0,1.62766666666667,0,7,9,2,0,0,0
"18","cumberland","35",31,3,1.7055,0,6,5,0,1,0,0
"19","dekalb","37",3.75,0.5,5.25625,0,8,5,2,0,1,0
"20","dewitt","39",55.25,4,15.165,0,11,7,4,0,1,0
"21","douglas","41",43.6666666666667,0,6.82259166666667,0,13,8,6,2,0,0
"22","dupage","43",55,2,10.18575,0,5,12,7,1,1,0
"23","edgar","45",20,0,0.68655,0,17,6,5,1,0,0
"24","edwards","47",3.41666666666667,0.25,2.06983333333333,0,1,4,4,1,1,0
"25","effingham","49",6.5,2,1.63855,0,8,6,6,1,0,0
"26","fayette","51",8.5,0.25,2.702775,0,6,7,7,1,0,0
"27","ford","53",6.66666666666667,0.333333333333333,4.07683333333333,0,17,10,4,1,0,0
"28","franklin","55",91.6666666666667,4.66666666666667,4.764,0,6,7,1,2,1,0
